date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:24	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-61cf3769-764f05dc1b06d890;gz%22	https://cyberconsult.sa/robots.txt		(from )
21:18:24	51073/51073	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Mar%202022%2019:18:24%20GMT	https://cyberconsult.sa/	C:/Users/Asus/Downloads/kris/cyberconsult.sa/index.html	(from )
21:18:24	15406/15406	---M--	200	added ('OK')	image/png	etag:%223c2e-61d50378-9905ffa4b69d2f88;;;%22	https://cyberconsult.sa/apple-touch-icon.png	C:/Users/Asus/Downloads/kris/cyberconsult.sa/apple-touch-icon.png	(from https://cyberconsult.sa/)
21:18:25	2333/2333	---M--	200	added ('OK')	image/png	etag:%2291d-61d50379-3f0444a4d365f19c;;;%22	https://cyberconsult.sa/favicon-32x32.png	C:/Users/Asus/Downloads/kris/cyberconsult.sa/favicon-32x32.png	(from https://cyberconsult.sa/)
21:18:25	1157/1157	---M--	200	added ('OK')	image/png	etag:%22485-61d50379-e2334571a8005db1;;;%22	https://cyberconsult.sa/favicon-16x16.png	C:/Users/Asus/Downloads/kris/cyberconsult.sa/favicon-16x16.png	(from https://cyberconsult.sa/)
21:18:25	426/426	---M-Z	200	added ('OK')	text/plain	etag:%221aa-61d5037a-bc48091dd4a1ac7;gz%22	https://cyberconsult.sa/site.webmanifest	C:/Users/Asus/Downloads/kris/cyberconsult.sa/site.webmanifest	(from https://cyberconsult.sa/)
21:18:25	7133/7133	---M-Z	200	added ('OK')	image/svg+xml	etag:%221bdd-61d5037a-bbaf7f0aa8be4245;gz%22	https://cyberconsult.sa/safari-pinned-tab.svg	C:/Users/Asus/Downloads/kris/cyberconsult.sa/safari-pinned-tab.svg	(from https://cyberconsult.sa/)
21:18:26	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-5890b764-c4039a31b4f98737;gz%22	https://cyberconsult.sa/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Asus/Downloads/kris/cyberconsult.sa/vendor/bootstrap/css/bootstrap.min.css	(from https://cyberconsult.sa/)
21:18:26	70808/70808	---M-Z	200	added ('OK')	text/css	etag:%2211498-5890b764-f95acefbdc224583;gz%22	https://cyberconsult.sa/css/animate.css	C:/Users/Asus/Downloads/kris/cyberconsult.sa/css/animate.css	(from https://cyberconsult.sa/)
21:18:26	16435/16435	---M-Z	200	added ('OK')	text/css	etag:%224033-5890b764-b54a67d5052f61c7;gz%22	https://cyberconsult.sa/vendor/themify/themify.css	C:/Users/Asus/Downloads/kris/cyberconsult.sa/vendor/themify/themify.css	(from https://cyberconsult.sa/)
